Category,Y/N,Repair Type,Qty,Unit,Unit Cost,Total
Roof *,,Roof (rip and replace) - architectural shingle,734,psf,$5.50,$4037.00
Roof *,,Rollover (add a layer of shingles) - architectural shingle,,psf,$2.50,$0.00
Roof *,,Roof Sheathing - plywood 1/2" remove & install,,psf,$2.00,$0.00
Roof *,,Roof repair/patch (hard),,ea,$900.00,$0.00
Roof *,,Roof repair/patch (easy),,ea,$600.00,$0.00
Roof *,,Premium for 3 layer tear off,,psf,$0.35,$0.00
Roof *,,Premium for steep pitched roof,,psf,$0.20,$0.00
Roof *,,Fascia - demo & install new,,lf,$3.25,$0.00
Roof *,,Soffit - demo & install new,,lf,$2.00,$0.00
Gutters,,Gutters & downspouts - demo & install new (Flat Cost),,sf,$4.00,$0.00
Gutters,,Gutters & downspouts - demo & install new (linear foot),,lf,$6.00,$0.00
Finish,,Demo existing finishing material,,psf,$0.75,$0.00
Finish,,Stucco,,psf,$3.00,$0.00
Finish,,Wood siding,,psf,$5.00,$0.00
Finish,,Vinyl siding,,psf,$3.00,$0.00
Finish,,Hardyboard,,psf,$4.00,$0.00
Finish,,Plywood panel siding,,psf,$2.50,$0.00
Finish,,"Exterior Finishes for Bungalow - Columns, etc.",,ls,$2000.00,$0.00
Finish,,Power wash exterior finish,,psf,$0.25,$0.00
Masonry,,"Fireplace/chimney, brick/stone - replace existing",,ls,$5000.00,$0.00
Masonry,,Concrete block,,sf,$6.00,$0.00
Masonry,,Stone,,sf,$18.00,$0.00
Masonry,,Brick / Cutting out brick to put windows for lower level,,sf,$11.50,$0.00
Masonry,,Tuckpoint brick,,sf,$3.50,$0.00
Masonry,,Power wash exterior masonry,,sf,$0.25,$0.00
Painting,,"Painting both exterior & interior (whole property)",734,psf,$3.50,$2569.00
Painting,,Painting Ext only,,psf,$1.60,$0.00
Painting,,Paint trim only,,lf,$1.65,$0.00
Painting,,Sand & refinish deck or paint deck,,sf,$1.75,$0.00
Painting,,Paint fence,,sf,$1.00,$0.00
Painting,,Paint detached garage,,sf,$1.00,$0.00
Windows,,"Windows, vinyl, average size",,ea,$400.00,$0.00
Windows,,"Windows, wood, restore existing wood (historical)",,ea,$450.00,$0.00
Windows,,"Window, large bay window - remove & replace",,ea,$600.00,$0.00
Garage,,"Garage Door Only - 1 Car - 9'x7' door, manual",,ea,$775.00,$0.00
Garage,,"Garage Door Only - 2 Car - 16' door, manual",,ea,$1000.00,$0.00
Garage,,Garage Door Opener Installed,,ea,$225.00,$0.00
Garage,,Reroof detached garage (rip & replace),,sf,$4.00,$0.00
Garage,,Build new detached garage,,sf,$30.00,$0.00
Landscaping,,Full landscaping makeover large lot (sod inc.),,ls,$5000.00,$0.00
Landscaping,,Full landscaping makeover medium lot (sod inc.),,ls,$2500.00,$0.00
Landscaping,,Full landscaping makeover small lot sod inc.),,ls,$1500.00,$0.00
Landscaping,,Clean up landscaping & yard only,2,ls,$500.00,$1000.00
Landscaping,,Tree removal (per tree),,ea,$500.00,$0.00
Landscaping,,Tree Planting (per tree),,ea,$130.00,$0.00
Concrete/Asphalt,,Demo existing concrete or asphalt,,sf,$2.00,$0.00
Concrete/Asphalt,,Concrete installed for driveway/patio/sidewalk,,sf,$5.00,$0.00
Concrete/Asphalt,,Asphalt installed in driveway,,sf,$3.00,$0.00
Concrete/Asphalt,,Gravel installed for driveway/sidewalk,,sf,$2.00,$0.00
Decks,,"New deck 15'x15' (add permit if 30"" off ground)",,ea,$9000.00,$0.00
Decks,,Side Porch,,ea,$5000.00,$0.00
Decks,,New deck - treated lumber,,sf,$15.00,$0.00
Decks,,New deck - cedar material,,sf,$19.00,$0.00
Decks,,Decking material replacement only,,sf,$7.00,$0.00
Decks,,Sand & refinish deck only,,sf,$2.00,$0.00
Decks,,New railings - wood,,lf,$20.00,$0.00
Decks,,New railings - metal,,lf,$40.00,$0.00
Pergola,,New pergola canopy 15'x15',,ea,$2500.00,$0.00
Pergola,,New pergola canopy 10'x10',,ea,$2000.00,$0.00
Fence,,Wood fencing,,lf,$13.00,$0.00
Fence,,Wrought iron fencing,,lf,$30.00,$0.00
Fence,,Chain-link fence,,lf,$6.00,$0.00
Pool *,,Pool Completely Redone ($10k to $15k),,ea,$10000.00,$0.00
Pool *,,Pool (redo plaster only),,ea,$4500.00,$0.00
Septic *,,Septic (all new system),,ea,$15000.00,$0.00
Septic *,,Septic (new tank only),,ea,$6000.00,$0.00
Septic *,,Septic (replace leach field only),,ea,$4000.00,$0.00
Painting,,Interior painting only,,sf,$1.50,$0.00
Painting,,Add extra wall prep (damaged walls),,sf,$0.50,$0.00
Hardwood,,Hardwood flooring - solid wood,,sf,$6.00,$0.00
Hardwood,,Engineered hardwood flooring,,sf,$4.00,$0.00
Hardwood,,Laminate hardwood flooring,734,sf,$3.50,$2569.00
Hardwood,,Sand & refinish existing hardwood flooring,,sf,$3.00,$0.00
Carpet / Vinyl,,Carpet,,sf,$1.75,$0.00
Carpet / Vinyl,,Vinyl or linoleum flooring,,sf,$3.00,$0.00
Tiling,,Ceramic floor tile - in kitchen,,sf,$6.50,$0.00
