Source,Address,Auction Date,Jurisdiction/County,Status
"TMMP","16029 Macedonia Dr., Woodbridge, VA 22191","04/28/2026 12:00 PM","County of Prince William","Active"
"TMMP","18190 Moss Garden Road, Dumfries, VA 22026","04/24/2026 12:00 PM","County of Prince William","Active"
"TMMP","1142 Watlington Rd, Gretna, VA 24557","04/24/2026 09:00 AM","County of Pittsylvania","Active"
"TMMP","1509 Waitsel Dr., Unit 206, Chesapeake, VA 23320","04/22/2026 11:45 AM","City of Chesapeake","Active"
"TMMP","1138 Marston St., Suffolk, VA 23435","04/21/2026 02:30 PM","City of Suffolk","Active"
"TMMP","3522 Campion Ave, Virginia Beach, VA 23462","04/21/2026 02:00 PM","City of Virginia Beach","Active"
"TMMP","1215 24Th Street, Newport News, VA 23607","04/21/2026 01:15 PM","City of Newport News","Active"
"TMMP","410 Streamview Dr., Fredericksburg, VA 22405","04/21/2026 11:00 AM","County of Stafford","Active"
"TMMP","112 Keeper St., Unit 81, Portsmouth, VA 23701","04/15/2026 10:15 AM","City of Portsmouth","Active"
"TMMP","206 Bridgeport Dr. , Bridgewater, VA 22812","04/08/2026 12:00 PM","County of Rockingham","Active"
"TMMP","4951 Brenman Park Dr. , Apt 410, Alexandria, VA 22304","04/08/2026 09:00 AM","City of Alexandria","Active"
"TMMP","101 Fairview Cir. N, Portsmouth, VA 23702","04/07/2026 11:00 AM","City of Portsmouth","Active"
"TMMP","205 Pembridge Dr., Winchester, VA 22602","04/06/2026 09:00 AM","County of Frederick","Active"
"TMMP","1072 Aspen Rd, Stafford , VA 22554","04/01/2026 09:00 AM","County of Stafford","Active"
"TMMP","63 Tanner Ln, Palmyra, VA 22963","03/27/2026 12:00 PM","County of Fluvanna","Active"
"TMMP","9149 Graff Ct., Mechanicsville, VA 23116","03/25/2026 12:30 PM","County of Hanover","Active"
"TMMP","1338 Jefferson Dr. W., Forest , VA 24551","03/25/2026 09:00 AM","County of Bedford","Active"
"TMMP","4144 Fountainside Ln, 102, Fairfax, VA 22030","03/24/2026 11:45 AM","County of Fairfax","Active"
"TMMP","11955 Little Creek Hwy, Bland, VA 24084","03/23/2026 12:00 PM","County of Bland","Active"
"TMMP","1000 Independence Drive, Martinsville, VA 24112","03/23/2026 12:00 PM","City of Martinsville","Active"
"TMMP","109 Meredith Way, Williamsburg, VA 23185","03/19/2026 12:00 PM","City of Williamsburg","Active"
"TMMP","11609 Boyd Road, Chester, VA 23831","03/19/2026 11:30 AM","County of Chesterfield","Active"
"TMMP","250 Shelter Ln., Amherst, VA 24521","03/19/2026 09:00 AM","County of Amherst","Active"
"TMMP","70 Columbia Avenue, Lynchburg, VA 24503","03/18/2026 10:45 AM","City of Lynchburg","Active"
"TMMP","190 Cedar St, Suffolk, VA 23434","03/17/2026 01:15 PM","City of Suffolk","Active"
"TMMP","157 Deford Ave, Stanley, VA 22851","03/17/2026 01:00 PM","County of Page","Active"
