Source,Address,Auction Date,Jurisdiction/County,Status,Estimated Value,Owner Name,Owner Type,Beds,Baths,SqFt,Phone 1,Phone 1 Type,Phone 2,Phone 2 Type
TMMP,"13307 Queensgate Rd, Midlothian, VA 23114",05/07/2026 12:30 PM,County of Chesterfield,Active,,,,,,,,,,
TMMP,"12017 Old Belfield Rd., Capron, VA 23829",05/04/2026 10:00 AM,County of Southampton,Active,,,,,,,,,,
TMMP,"1509 Waitsel Dr., Unit 206, Chesapeake, VA 23320",04/22/2026 12:45 PM,City of Chesapeake,Active,,,,,,,,,,
TMMP,"1138 Marston St., Suffolk, VA 23435",04/21/2026 03:30 PM,City of Suffolk,Active,,,,,,,,,,
TMMP,"1215 24Th Street, Newport News, VA 23607",04/21/2026 02:15 PM,City of Newport News,Active,,,,,,,,,,
TMMP,"112 Keeper St., Unit 81, Portsmouth, VA 23701",04/15/2026 11:15 AM,City of Portsmouth,Active,,,,,,,,,,
TMMP,"101 Fairview Cir. N, Portsmouth, VA 23702",04/07/2026 12:00 PM,City of Portsmouth,Active,,,,,,,,,,
TMMP,"9149 Graff Ct., Mechanicsville, VA 23116",03/25/2026 01:30 PM,County of Hanover,Active,,,,,,,,,,
TMMP,"109 Meredith Way, Williamsburg, VA 23185",03/19/2026 01:00 PM,City of Williamsburg,Active,,,,,,,,,,
TMMP,"11609 Boyd Road, Chester, VA 23831",03/19/2026 12:30 PM,County of Chesterfield,Active,,,,,,,,,,
TMMP,"190 Cedar St, Suffolk, VA 23434",03/17/2026 02:15 PM,City of Suffolk,Active,,,,,,,,,,
TMMP,"2808 Chickahominy Rd, Toano, VA 23168",03/12/2026 03:45 PM,County of James City,Active,,,,,,,,,,
TMMP,"301 Virginia Street, Unit 703, Richmond, VA 23219",03/12/2026 10:00 AM,City of Richmond,Active,,,,,,,,,,
TMMP,"1828 Hoover Avenue, Chesapeake, VA 23324",03/10/2026 01:15 PM,City of Chesapeake,Active,,,,,,,,,,
TMMP,"140 Haviland Road, Chesapeake, VA 23320",03/10/2026 01:15 PM,City of Chesapeake,Active,,,,,,,,,,
TMMP,"9 Baywood Lane, Portsmouth, VA 23701",03/10/2026 12:00 PM,City of Portsmouth,Active,,,,,,,,,,
TMMP,"1417 Dorene Ct, Hampton, VA 23663",03/10/2026 09:45 AM,City of Hampton,Active,,,,,,,,,,
TMMP,"528 Chestnut Ave, Colonial Heights, VA 23834",03/09/2026 10:30 AM,City of Colonial Heights,Active,,,,,,,,,,
Rosenberg,9571 13th Bay Street,03-03-2026,Norfolk City,Cancelled,,,,,,,,,,
Rosenberg,22100 Lake Jordan Landing,03-05-2026,Dinwiddie,Cancelled,,,,,,,,,,
Rosenberg,25010 Floyd Avenue,03-05-2026,Dinwiddie,Active,,,,,,,,,,
Rosenberg,1796 River Rock Arch,04-21-2026,City of Virginia Beach,Active,,,,,,,,,,
Rosenberg,249 West Freemason Street Apt 200,03-10-2026,Norfolk City,Active,,,,,,,,,,
Rosenberg,10 Great Lakes Drive,03-06-2026,Hampton,Cancelled,,,,,,,,,,
Rosenberg,3 Mountain Ashe Place,03-13-2026,Hampton,Cancelled,,,,,,,,,,
Rosenberg,812 South Lake Circle,03-10-2026,City of Chesapeake,Active,,,,,,,,,,
Rosenberg,205 Kalmar Drive,03-10-2026,City of Chesapeake,Active,,,,,,,,,,
Rosenberg,1328 Green Cedar Lane,03-10-2026,City of Virginia Beach,Cancelled,,,,,,,,,,
Rosenberg,10001 South General Boulevard,03-12-2026,Chesterfield,Active,,,,,,,,,,
Rosenberg,7713 Halprin Drive,03-10-2026,Norfolk City,Cancelled,,,,,,,,,,
Rosenberg,4769 Marlborough Drive,03-17-2026,City of Virginia Beach,Active,,,,,,,,,,
Rosenberg,920 Oxford Drive,03-10-2026,City of Virginia Beach,Cancelled,,,,,,,,,,
Rosenberg,2738 Console Avenue,03-17-2026,Norfolk City,Active,,,,,,,,,,
Rosenberg,8445 Truevine Road,04-30-2026,Franklin,Active,,,,,,,,,,
Rosenberg,11 Fairway Drive,03-17-2026,Portsmouth,Active,,,,,,,,,,
Rosenberg,5708 Barberry Lane,03-24-2026,Portsmouth,Active,,,,,,,,,,
Rosenberg,3258 Skipper Drive,03-24-2026,City of Virginia Beach,Active,,,,,,,,,,
